day,case
1,236
2,271
3,292
4,319
5,357
6,408
7,477
8,574
9,656
10,749
11,860
12,990
13,1143
14,1319
15,1521
16,1748
17,2008
18,2306
19,2648
20,3038
21,3480
22,3981
23,4547
24,5184
25,5900
26,6699
27,7588
28,8568
29,9644
30,10814
31,12075
32,13420
33,14835
34,16304
35,17802
36,19299
37,20758
38,22138
39,23395
40,24481
41,25354
42,25975
43,26312
44,26347
45,26076
46,25506
47,24660
48,23574
49,22289
50,20855
51,19321
52,17735
53,16141
54,14576
55,13069
56,11643
57,10313
58,9089
59,7974
60,6968
61,6068
62,5268
63,4561
64,3940
65,3397
66,2924
67,2513
68,2157
69,1849
70,1584
71,1356
72,1159
73,991
74,847
75,723
76,617
77,527
78,449
79,383
80,327
81,278
82,237
83,202
84,172
85,147
86,125
87,106
88,90
89,77
90,65
91,56
92,47
93,40
94,34
95,29
96,24
97,21
98,17
99,15
100,12
